priority_score,action_type,page_path,handle,page_type,metric_value,notes,rank
100.0,STRIKING_DISTANCE,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,best-scandinavian-furniture-online,blog,pos 15.4 | 2286 imp,Ranking #15 with 2286 impressions. Top query: 'scandinavian furniture'. Optimize content + internal links to push to page 1.,1
100.0,STRIKING_DISTANCE,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,scandi-modern-furniture-style-differences-explained,blog,pos 11.0 | 1347 imp,Ranking #11 with 1347 impressions. Top query: 'mid century modern vs scandinavian'. Optimize content + internal links to push to page 1.,2
100.0,HIGH_IMPRESSIONS_LOW_CTR,/products/scandinavian-danish-modern-dining-table,scandinavian-danish-modern-dining-table,product,CTR 0.0% vs expected 2.0%,2206 impressions but only 0.0% CTR (expected ~2.0% at position 10). Rewrite title tag + meta description for this page.,3
100.0,HIGH_IMPRESSIONS_LOW_CTR,/collections/mid-century-modern-dining-tables,mid-century-modern-dining-tables,collection,CTR 0.2% vs expected 1.0%,2571 impressions but only 0.2% CTR (expected ~1.0% at position 19). Rewrite title tag + meta description for this page.,4
100.0,HIGH_IMPRESSIONS_LOW_CTR,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,best-scandinavian-furniture-online,blog,CTR 0.3% vs expected 1.0%,2286 impressions but only 0.3% CTR (expected ~1.0% at position 15). Rewrite title tag + meta description for this page.,5
100.0,STRIKING_DISTANCE,/products/scandinavian-danish-modern-dining-table,scandinavian-danish-modern-dining-table,product,pos 9.9 | 2206 imp,Ranking #10 with 2206 impressions. Top query: 'aesthetic dining table'. Optimize content + internal links to push to page 1.,6
100.0,HIGH_IMPRESSIONS_LOW_CTR,/products/mid-century-modern-walnut-nightstand,mid-century-modern-walnut-nightstand,product,CTR 0.0% vs expected 1.0%,1670 impressions but only 0.0% CTR (expected ~1.0% at position 25). Rewrite title tag + meta description for this page.,7
100.0,HIGH_IMPRESSIONS_LOW_CTR,/products/the-santa-monica-mid-century-modern-dining-table,the-santa-monica-mid-century-modern-dining-table,product,CTR 0.0% vs expected 1.0%,1358 impressions but only 0.0% CTR (expected ~1.0% at position 18). Rewrite title tag + meta description for this page.,8
73.4,HIGH_IMPRESSIONS_LOW_CTR,/collections/scandinavian-design-furniture,scandinavian-design-furniture,collection,CTR 0.1% vs expected 1.0%,854 impressions but only 0.1% CTR (expected ~1.0% at position 28). Rewrite title tag + meta description for this page.,9
58.8,HIGH_IMPRESSIONS_LOW_CTR,/products/van-aiken-boho-bed-fram,van-aiken-boho-bed-fram,product,CTR 0.0% vs expected 2.0%,294 impressions but only 0.0% CTR (expected ~2.0% at position 10). Rewrite title tag + meta description for this page.,10
45.6,HIGH_IMPRESSIONS_LOW_CTR,/collections/custom-made-furniture,custom-made-furniture,collection,CTR 0.1% vs expected 1.0%,536 impressions but only 0.1% CTR (expected ~1.0% at position 37). Rewrite title tag + meta description for this page.,11
43.7,STRIKING_DISTANCE,/collections/mid-century-modern-dining-tables,mid-century-modern-dining-tables,collection,pos 19.3 | 2571 imp,Ranking #19 with 2571 impressions. Top query: 'mid century modern dining table'. Optimize content + internal links to push to page 1.,12
40.7,STRIKING_DISTANCE,/products/the-santa-monica-mid-century-modern-dining-table,the-santa-monica-mid-century-modern-dining-table,product,pos 18.0 | 1358 imp,Ranking #18 with 1358 impressions. Top query: 'can i see pictures'. Optimize content + internal links to push to page 1.,13
36.5,HIGH_IMPRESSIONS_LOW_CTR,/products/mid-century-modern-extendable-dining-table-santa-monica,mid-century-modern-extendable-dining-table-santa-monica,product,CTR 0.0% vs expected 1.0%,365 impressions but only 0.0% CTR (expected ~1.0% at position 19). Rewrite title tag + meta description for this page.,14
32.6,STRIKING_DISTANCE,/products/van-aiken-boho-bed-fram,van-aiken-boho-bed-fram,product,pos 9.9 | 294 imp,Ranking #10 with 294 impressions. Top query: 'bed frames aiken'. Optimize content + internal links to push to page 1.,15
28.4,HIGH_IMPRESSIONS_LOW_CTR,/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939,scandinavian-dining-table-extendable-dining-table?variant=45934517616939,product,CTR 0.0% vs expected 2.0%,142 impressions but only 0.0% CTR (expected ~2.0% at position 7). Rewrite title tag + meta description for this page.,16
25.9,HIGH_IMPRESSIONS_LOW_CTR,/pages/custom-kitchen-cabinets-cleveland,custom-kitchen-cabinets-cleveland,page,CTR 0.4% vs expected 1.0%,424 impressions but only 0.4% CTR (expected ~1.0% at position 36). Rewrite title tag + meta description for this page.,17
24.8,STRIKING_DISTANCE,/products/scandinavian-dining-table-extendable-dining-table,scandinavian-dining-table-extendable-dining-table,product,pos 16.5 | 550 imp,Ranking #16 with 550 impressions. Top query: 'danish dining table extendable'. Optimize content + internal links to push to page 1.,18
24.7,HIGH_IMPRESSIONS_LOW_CTR,/collections/modern-dining-chairs,modern-dining-chairs,collection,CTR 0.0% vs expected 1.0%,247 impressions but only 0.0% CTR (expected ~1.0% at position 59). Rewrite title tag + meta description for this page.,19
24.4,STRIKING_DISTANCE,/collections/japandi-scandi-mid-century-modern-furniture,japandi-scandi-mid-century-modern-furniture,collection,pos 10.0 | 222 imp,Ranking #10 with 222 impressions. Top query: 'japandi mcm'. Optimize content + internal links to push to page 1.,20
24.2,HIGH_IMPRESSIONS_LOW_CTR,/products/scandinavian-dining-table-extendable-dining-table,scandinavian-dining-table-extendable-dining-table,product,CTR 0.6% vs expected 1.0%,550 impressions but only 0.6% CTR (expected ~1.0% at position 16). Rewrite title tag + meta description for this page.,21
22.9,HIGH_IMPRESSIONS_LOW_CTR,/products/upton-handmade-scandinavian-inspired-bed-frame,upton-handmade-scandinavian-inspired-bed-frame,product,CTR 0.2% vs expected 1.0%,301 impressions but only 0.2% CTR (expected ~1.0% at position 20). Rewrite title tag + meta description for this page.,22
22.8,HIGH_IMPRESSIONS_LOW_CTR,/blogs/mid-century-modern-scandi-japandi-design-blog/japandi-bedroom,japandi-bedroom,blog,CTR 0.0% vs expected 1.0%,228 impressions but only 0.0% CTR (expected ~1.0% at position 20). Rewrite title tag + meta description for this page.,23
20.3,HIGH_IMPRESSIONS_LOW_CTR,/collections/custom-made-expandable-dining-tables,custom-made-expandable-dining-tables,collection,CTR 0.5% vs expected 1.0%,422 impressions but only 0.5% CTR (expected ~1.0% at position 64). Rewrite title tag + meta description for this page.,24
20.2,HIGH_IMPRESSIONS_LOW_CTR,/collections/mid-century-modern-coffee-tables,mid-century-modern-coffee-tables,collection,CTR 0.4% vs expected 1.0%,360 impressions but only 0.4% CTR (expected ~1.0% at position 36). Rewrite title tag + meta description for this page.,25
20.2,HIGH_IMPRESSIONS_LOW_CTR,/blogs/mid-century-modern-scandi-japandi-design-blog/japandi-style-90-things,japandi-style-90-things,blog,CTR 0.0% vs expected 2.0%,101 impressions but only 0.0% CTR (expected ~2.0% at position 5). Rewrite title tag + meta description for this page.,26
19.6,STRIKING_DISTANCE,/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939,scandinavian-dining-table-extendable-dining-table?variant=45934517616939,product,pos 7.2 | 142 imp,"Ranking #7 with 142 impressions. Top query: '""55"" ""scandinavian dining table"" ""us"" ""2"" ""1500"" ""0.70"" ""0.78"" ""scandinavian dining table"" ""2023-09-11 07:12:57"" ""image pack'. Optimize content + internal links to push to page 1.",27
18.7,HIGH_IMPRESSIONS_LOW_CTR,/collections/mid-century-modern-credenza,mid-century-modern-credenza,collection,CTR 0.0% vs expected 1.0%,187 impressions but only 0.0% CTR (expected ~1.0% at position 47). Rewrite title tag + meta description for this page.,28
